
feature: tunnel	DF[0]:0	DF[1]:2	DF[2]:3	DF[3]:5	DF[4]:16	TTF[0]:0	TTF[1]:2	TTF[2]:3	TTF[3]:6	TTF[4]:16
feature: econom	DF[0]:5	DF[1]:2	DF[2]:8	DF[3]:34	DF[4]:68	TTF[0]:5	TTF[1]:2	TTF[2]:8	TTF[3]:34	TTF[4]:68
feature: winter	DF[0]:9	DF[1]:8	DF[2]:0	DF[3]:7	DF[4]:41	TTF[0]:9	TTF[1]:8	TTF[2]:0	TTF[3]:10	TTF[4]:41
feature: grate	DF[0]:6	DF[1]:5	DF[2]:17	DF[3]:27	DF[4]:101	TTF[0]:6	TTF[1]:7	TTF[2]:24	TTF[3]:28	TTF[4]:102
feature: diagon	DF[0]:1	DF[1]:7	DF[2]:3	DF[3]:27	DF[4]:48	TTF[0]:1	TTF[1]:7	TTF[2]:3	TTF[3]:28	TTF[4]:49
feature: 97	DF[0]:20	DF[1]:12	DF[2]:9	DF[3]:78	DF[4]:185	TTF[0]:20	TTF[1]:13	TTF[2]:9	TTF[3]:95	TTF[4]:217
feature: unibodi	DF[0]:1	DF[1]:1	DF[2]:3	DF[3]:2	DF[4]:14	TTF[0]:1	TTF[1]:1	TTF[2]:4	TTF[3]:2	TTF[4]:14
feature: professor	DF[0]:2	DF[1]:0	DF[2]:12	DF[3]:12	DF[4]:36	TTF[0]:2	TTF[1]:0	TTF[2]:12	TTF[3]:12	TTF[4]:38
feature: cisco	DF[0]:2	DF[1]:3	DF[2]:6	DF[3]:7	DF[4]:36	TTF[0]:2	TTF[1]:3	TTF[2]:9	TTF[3]:8	TTF[4]:41
feature: faux	DF[0]:0	DF[1]:6	DF[2]:8	DF[3]:16	DF[4]:47	TTF[0]:0	TTF[1]:14	TTF[2]:8	TTF[3]:20	TTF[4]:51
feature: techgiant	DF[0]:26	DF[1]:3	DF[2]:6	DF[3]:0	DF[4]:7	TTF[0]:57	TTF[1]:3	TTF[2]:6	TTF[3]:0	TTF[4]:7
feature: kodak	DF[0]:0	DF[1]:2	DF[2]:1	DF[3]:10	DF[4]:11	TTF[0]:0	TTF[1]:2	TTF[2]:1	TTF[3]:10	TTF[4]:15
feature: g2	DF[0]:1	DF[1]:1	DF[2]:1	DF[3]:6	DF[4]:14	TTF[0]:1	TTF[1]:1	TTF[2]:1	TTF[3]:7	TTF[4]:16
feature: sister	DF[0]:89	DF[1]:28	DF[2]:37	DF[3]:115	DF[4]:523	TTF[0]:108	TTF[1]:33	TTF[2]:45	TTF[3]:116	TTF[4]:581
feature: iwork	DF[0]:5	DF[1]:2	DF[2]:10	DF[3]:30	DF[4]:72	TTF[0]:10	TTF[1]:5	TTF[2]:20	TTF[3]:38	TTF[4]:100
feature: av	DF[0]:6	DF[1]:1	DF[2]:9	DF[3]:30	DF[4]:67	TTF[0]:6	TTF[1]:1	TTF[2]:11	TTF[3]:39	TTF[4]:90
feature: otg	DF[0]:6	DF[1]:5	DF[2]:32	DF[3]:90	DF[4]:174	TTF[0]:10	TTF[1]:6	TTF[2]:33	TTF[3]:122	TTF[4]:287
feature: razor	DF[0]:1	DF[1]:6	DF[2]:2	DF[3]:16	DF[4]:37	TTF[0]:1	TTF[1]:6	TTF[2]:2	TTF[3]:22	TTF[4]:45
feature: wannab	DF[0]:1	DF[1]:1	DF[2]:0	DF[3]:6	DF[4]:8	TTF[0]:1	TTF[1]:1	TTF[2]:0	TTF[3]:6	TTF[4]:8
feature: pedal	DF[0]:1	DF[1]:1	DF[2]:0	DF[3]:6	DF[4]:8	TTF[0]:1	TTF[1]:1	TTF[2]:0	TTF[3]:6	TTF[4]:14
feature: partnership	DF[0]:6	DF[1]:1	DF[2]:0	DF[3]:1	DF[4]:8	TTF[0]:6	TTF[1]:1	TTF[2]:0	TTF[3]:2	TTF[4]:8
feature: 120gb	DF[0]:3	DF[1]:0	DF[2]:0	DF[3]:5	DF[4]:6	TTF[0]:3	TTF[1]:0	TTF[2]:0	TTF[3]:5	TTF[4]:6
feature: nonglar	DF[0]:0	DF[1]:0	DF[2]:3	DF[3]:5	DF[4]:6	TTF[0]:0	TTF[1]:0	TTF[2]:3	TTF[3]:5	TTF[4]:7
feature: loveabl	DF[0]:0	DF[1]:0	DF[2]:3	DF[3]:5	DF[4]:6	TTF[0]:0	TTF[1]:0	TTF[2]:3	TTF[3]:5	TTF[4]:6
feature: news360	DF[0]:0	DF[1]:3	DF[2]:0	DF[3]:5	DF[4]:6	TTF[0]:0	TTF[1]:3	TTF[2]:0	TTF[3]:5	TTF[4]:6
feature: tt	DF[0]:5	DF[1]:0	DF[2]:0	DF[3]:6	DF[4]:3	TTF[0]:5	TTF[1]:0	TTF[2]:0	TTF[3]:16	TTF[4]:3
feature: puerto	DF[0]:6	DF[1]:3	DF[2]:0	DF[3]:0	DF[4]:5	TTF[0]:12	TTF[1]:3	TTF[2]:0	TTF[3]:0	TTF[4]:6
feature: hd	DF[0]:447	DF[1]:398	DF[2]:580	DF[3]:1717	DF[4]:5902	TTF[0]:776	TTF[1]:680	TTF[2]:1301	TTF[3]:4058	TTF[4]:10427
feature: creo	DF[0]:2	DF[1]:0	DF[2]:0	DF[3]:3	DF[4]:4	TTF[0]:2	TTF[1]:0	TTF[2]:0	TTF[3]:3	TTF[4]:4
feature: thisit	DF[0]:2	DF[1]:0	DF[2]:0	DF[3]:3	DF[4]:4	TTF[0]:2	TTF[1]:0	TTF[2]:0	TTF[3]:3	TTF[4]:4
feature: forgo	DF[0]:2	DF[1]:0	DF[2]:0	DF[3]:3	DF[4]:4	TTF[0]:2	TTF[1]:0	TTF[2]:0	TTF[3]:3	TTF[4]:4
feature: gamingth	DF[0]:2	DF[1]:0	DF[2]:0	DF[3]:3	DF[4]:4	TTF[0]:2	TTF[1]:0	TTF[2]:0	TTF[3]:3	TTF[4]:4
feature: 200gb	DF[0]:2	DF[1]:0	DF[2]:0	DF[3]:3	DF[4]:4	TTF[0]:2	TTF[1]:0	TTF[2]:0	TTF[3]:3	TTF[4]:4
feature: w4g	DF[0]:2	DF[1]:0	DF[2]:0	DF[3]:3	DF[4]:4	TTF[0]:2	TTF[1]:0	TTF[2]:0	TTF[3]:3	TTF[4]:4
feature: voil	DF[0]:3	DF[1]:0	DF[2]:0	DF[3]:2	DF[4]:4	TTF[0]:3	TTF[1]:0	TTF[2]:0	TTF[3]:2	TTF[4]:4
feature: wink	DF[0]:3	DF[1]:0	DF[2]:0	DF[3]:2	DF[4]:4	TTF[0]:3	TTF[1]:0	TTF[2]:0	TTF[3]:2	TTF[4]:7
feature: frontcamera	DF[0]:3	DF[1]:0	DF[2]:0	DF[3]:2	DF[4]:4	TTF[0]:3	TTF[1]:0	TTF[2]:0	TTF[3]:2	TTF[4]:5
feature: contributor	DF[0]:0	DF[1]:0	DF[2]:2	DF[3]:3	DF[4]:4	TTF[0]:0	TTF[1]:0	TTF[2]:2	TTF[3]:3	TTF[4]:4
feature: stuffth	DF[0]:0	DF[1]:0	DF[2]:2	DF[3]:3	DF[4]:4	TTF[0]:0	TTF[1]:0	TTF[2]:2	TTF[3]:3	TTF[4]:4
feature: heater	DF[0]:0	DF[1]:0	DF[2]:2	DF[3]:3	DF[4]:4	TTF[0]:0	TTF[1]:0	TTF[2]:2	TTF[3]:3	TTF[4]:4
feature: ackward	DF[0]:2	DF[1]:0	DF[2]:0	DF[3]:4	DF[4]:3	TTF[0]:2	TTF[1]:0	TTF[2]:0	TTF[3]:4	TTF[4]:3
feature: tienda	DF[0]:2	DF[1]:0	DF[2]:0	DF[3]:4	DF[4]:3	TTF[0]:2	TTF[1]:0	TTF[2]:0	TTF[3]:4	TTF[4]:3
feature: cryptic	DF[0]:2	DF[1]:0	DF[2]:0	DF[3]:4	DF[4]:3	TTF[0]:2	TTF[1]:0	TTF[2]:0	TTF[3]:4	TTF[4]:3
feature: inventor	DF[0]:0	DF[1]:0	DF[2]:3	DF[3]:2	DF[4]:4	TTF[0]:0	TTF[1]:0	TTF[2]:3	TTF[3]:2	TTF[4]:4
feature: ipadkil	DF[0]:0	DF[1]:0	DF[2]:2	DF[3]:4	DF[4]:3	TTF[0]:0	TTF[1]:0	TTF[2]:2	TTF[3]:4	TTF[4]:3
feature: longawait	DF[0]:0	DF[1]:3	DF[2]:0	DF[3]:2	DF[4]:4	TTF[0]:0	TTF[1]:3	TTF[2]:0	TTF[3]:2	TTF[4]:4
feature: videoout	DF[0]:3	DF[1]:0	DF[2]:0	DF[3]:4	DF[4]:2	TTF[0]:7	TTF[1]:0	TTF[2]:0	TTF[3]:4	TTF[4]:2
feature: repac	DF[0]:2	DF[1]:3	DF[2]:0	DF[3]:0	DF[4]:4	TTF[0]:2	TTF[1]:3	TTF[2]:0	TTF[3]:0	TTF[4]:4
feature: goodif	DF[0]:4	DF[1]:0	DF[2]:0	DF[3]:3	DF[4]:2	TTF[0]:4	TTF[1]:0	TTF[2]:0	TTF[3]:3	TTF[4]:2
feature: agoni	DF[0]:4	DF[1]:0	DF[2]:0	DF[3]:8	DF[4]:6	TTF[0]:4	TTF[1]:0	TTF[2]:0	TTF[3]:8	TTF[4]:6
feature: vietnam	DF[0]:4	DF[1]:0	DF[2]:2	DF[3]:0	DF[4]:3	TTF[0]:4	TTF[1]:0	TTF[2]:2	TTF[3]:0	TTF[4]:3
feature: thempro	DF[0]:0	DF[1]:3	DF[2]:2	DF[3]:0	DF[4]:4	TTF[0]:0	TTF[1]:3	TTF[2]:2	TTF[3]:0	TTF[4]:4
