6	2	0.0000	[38 38 39 39 39 38 ]
8	3	0.0198	[25 25 38 38 39 39 38 39 ]
40	2	0.9037	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 38 ]
22	14	0.2410	[25 25 10 0 10 39 21 20 16 13 6 39 34 6 11 20 36 17 36 34 7 16 ]
10	5	0.0010	[16 20 20 20 39 21 0 39 39 39 ]
5	2	0.0315	[25 39 39 39 25 ]
5	3	0.0086	[39 39 23 23 25 ]
42	4	0.6195	[38 38 26 38 38 39 25 38 25 25 25 25 25 25 25 25 38 25 25 25 25 38 25 25 25 38 25 38 25 38 25 25 25 25 38 25 25 39 25 25 25 38 ]
6	2	0.0084	[25 39 39 39 39 39 ]
7	1	0.0149	[6 6 6 6 6 6 6 ]
7	4	0.0128	[25 23 1 1 20 25 25 ]
9	2	0.0000	[38 38 38 38 38 38 25 38 38 ]
14	3	0.0036	[38 39 38 25 25 38 38 38 25 38 38 39 25 25 ]
12	3	0.1544	[39 39 38 39 26 39 39 39 26 39 39 39 ]
10	2	0.2078	[25 38 38 38 38 38 38 38 38 25 ]
65	4	1.6718	[39 39 39 39 39 39 39 39 39 39 39 39 26 39 39 39 26 26 38 38 39 39 39 39 39 39 39 39 39 25 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 26 39 39 39 39 39 39 39 39 ]
106	1	1.7990	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 ]
2	2	0.0043	[39 38 ]
59	9	1.9406	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 38 25 10 6 25 38 22 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 23 26 25 25 25 25 25 25 25 25 13 25 25 25 25 25 25 25 25 13 30 25 ]
6	4	0.0133	[39 26 39 20 25 25 ]
57	4	1.0992	[39 25 38 39 38 39 38 38 39 39 39 39 39 39 39 39 39 39 39 25 39 39 39 39 26 39 39 39 39 26 39 39 26 39 39 39 39 39 39 39 26 39 39 39 39 39 26 39 39 39 39 39 39 39 39 39 39 ]
2	2	0.0210	[0 43 ]
21	1	0.4907	[38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 ]
2	1	0.0000	[39 39 ]
3	2	0.0015	[39 39 38 ]
8	3	0.0258	[25 25 25 25 25 25 20 16 ]
5	4	0.2123	[32 22 25 39 22 ]
5	3	0.0054	[38 25 25 25 39 ]
4	4	0.0658	[38 25 39 26 ]
15	2	0.0000	[25 25 25 38 25 25 25 25 25 38 25 38 38 38 38 ]
3	1	0.1226	[39 39 39 ]
8	2	0.0154	[39 39 39 39 26 39 39 39 ]
18	1	0.3242	[38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 ]
5	3	0.3230	[38 25 38 38 39 ]
7	1	0.2434	[25 25 25 25 25 25 25 ]
5	3	0.0221	[1 25 1 20 20 ]
2	2	0.0055	[39 25 ]
36	11	0.0789	[25 38 25 25 39 41 6 39 39 39 39 4 25 39 25 6 42 26 39 41 6 6 6 39 34 6 6 39 34 6 39 39 26 39 22 20 ]
43	5	0.8790	[19 25 25 25 25 39 39 39 26 39 26 39 26 25 39 39 39 39 26 39 17 26 39 39 26 39 39 39 39 26 39 39 39 39 39 39 39 39 39 26 39 39 39 ]
2	2	0.0044	[39 26 ]
6	2	0.0027	[38 38 39 38 38 38 ]
9	3	0.0058	[38 39 25 25 38 38 25 25 25 ]
4	3	0.0002	[25 25 6 21 ]
49	3	0.0000	[25 39 25 25 25 7 25 25 39 25 25 25 25 25 25 25 39 25 39 39 39 39 39 25 25 39 25 25 25 25 25 25 25 25 39 25 39 39 39 25 39 25 25 39 25 25 39 25 39 ]
2	2	0.7679	[38 25 ]
21	1	0.5765	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 ]
10	3	0.0005	[39 20 39 39 39 39 39 39 39 13 ]
12	3	0.4498	[39 26 39 39 39 39 25 25 39 25 25 25 ]
3	3	0.0038	[33 6 20 ]
11	1	0.2401	[25 25 25 25 25 25 25 25 25 25 25 ]
12	2	0.0177	[38 25 25 25 25 25 25 25 25 25 25 25 ]
8	4	0.2233	[6 6 25 30 20 20 25 25 ]
2	2	0.0000	[25 17 ]
2	1	0.0000	[25 25 ]
9	4	0.0000	[39 39 39 39 39 38 6 25 39 ]
27	2	1.1472	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 38 25 38 38 38 38 38 38 38 38 38 ]
64	4	0.0001	[38 38 38 39 39 38 38 38 38 26 38 38 38 38 38 39 38 38 38 38 38 38 38 38 38 25 38 39 39 39 39 39 38 38 38 38 38 38 38 38 38 38 25 26 38 38 38 39 38 38 38 26 39 39 26 26 38 38 38 38 38 38 38 38 ]
3	3	0.0000	[33 0 16 ]
5	3	0.0084	[39 39 38 10 39 ]
14	5	0.2103	[25 25 6 25 39 6 25 20 20 20 6 6 20 26 ]
29	2	0.0000	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 38 25 25 25 25 ]
3	1	0.0074	[25 25 25 ]
12	3	0.0012	[38 26 39 39 26 39 26 39 39 39 26 39 ]
10	7	0.0131	[16 16 0 20 10 38 25 38 26 20 ]
6	2	0.0000	[25 25 25 20 25 25 ]
5	2	0.9283	[25 39 39 39 39 ]
10	4	0.0274	[25 25 25 25 38 38 38 8 8 22 ]
4	2	0.0069	[38 39 39 38 ]
5	2	0.0001	[25 25 25 25 38 ]
