HTSM,B008HTJLF6,3,1,great battery life
ASUM,B008HTJLF6,3,1,great phone
ASUM,B008HTJLF6,3,1,i wish it worked
ASUM,B008HTJLF6,16,0,seems its on the charger more than anything else
ASUM,B008HTJLF6,16,1,seems its on the charger more than anything else
ASUM,B008HTJLF6,16,1,not sure i like this phone due to this issue
HTMM,B008HTJLF6,16,0, months after we got the phone it stopped charging
HTSM,B008HTJLF6,16,0,first off the phone has ultra poor battery life
HTMM,B008HTJLF6,16,1, months after we got the phone it stopped charging
HTMM,B008HTJLF6,16,1,first off the phone has ultra poor battery life
HTMM,B008HTJLF6,16,1,and the battery life last past a day
HTSM,B008HTJLF6,16,1,first off the phone has ultra poor battery life
HTSM,B008HTJLF6,16,1,and the battery life last past a day
HTSM,B008HTJLF6,16,1, months after we got the phone it stopped charging
HTSM,B008HTJLF6,16,1,when i dont use it that much
HTSM,B008HTJLF6,5,0,the camera is also great
ASUM,B008HTJLF6,5,0,great phone
HTMM,B008HTJLF6,5,0,great phone
HTMM,B008HTJLF6,5,0,the camera is also great
HTMM,B008HTJLF6,5,0,great phone
HTMM,B008HTJLF6,5,0,the pictures look great
HTMM,B008HTJLF6,5,1,the pictures look great
HTMM,B008HTJLF6,5,1,other than that this is a great phone
HTSM,B008HTJLF6,5,1,the camera is also great
HTSM,B008HTJLF6,5,1,great phone
HTSM,B008HTJLF6,5,1,great camera and camera options
ASUM,B008HTJLF6,5,1,great phone
ASUM,B008HTJLF6,5,1,great phone for everything
ASUM,B008HTJLF6,18,0,just give me android
HTMM,B008HTJLF6,18,0,camera is better than my other phone
HTMM,B008HTJLF6,18,1,camera is better than my other phone
HTMM,B008HTJLF6,18,1,it is way much more better than iphones
HTSM,B008HTJLF6,18,0,camera is better than my other phone
HTSM,B008HTJLF6,18,0,it was a very good buy
HTSM,B008HTJLF6,18,1,it was a very good buy
HTSM,B008HTJLF6,18,1,great phone
ASUM,B008HTJLF6,18,1,just give me android
ASUM,B008HTJLF6,18,1,could have been so much better
HTSM,B008HTJLF6,8,0,its a great phone on every other carrier except verizon
ASUM,B008HTJLF6,8,0,give us freedom verizon
HTMM,B008HTJLF6,8,0,verizon siii
HTMM,B008HTJLF6,8,1,verizon siii
HTMM,B008HTJLF6,8,1,my phone works now in this area
HTSM,B008HTJLF6,8,1,its a great phone on every other carrier except verizon
HTSM,B008HTJLF6,8,1,my other phones worked great there
ASUM,B008HTJLF6,8,1,give us freedom verizon
ASUM,B008HTJLF6,8,1,not what hyped up to be on verizon
HTMM,B008HTJLF6,21,0,do not buy this phone if you want to use it as a phoneupdate  tried new sim card
ASUM,B008HTJLF6,21,0,never once did they acknowledge that this phone has problems
ASUM,B008HTJLF6,21,1,never once did they acknowledge that this phone has problems
ASUM,B008HTJLF6,21,1,everywhere else i have been in san diego
HTSM,B008HTJLF6,21,0,its been over a month and i still dont have a working phoneand all this time ive been paying for service
HTMM,B008HTJLF6,21,1,do not buy this phone if you want to use it as a phoneupdate  tried new sim card
HTMM,B008HTJLF6,21,1,never once did they acknowledge that this phone has problems
HTMM,B008HTJLF6,21,1,hard to like a phone that cant make a phone call
HTSM,B008HTJLF6,21,1,its been over a month and i still dont have a working phoneand all this time ive been paying for service
HTSM,B008HTJLF6,21,1,do not buy this phone if you want to use it as a phoneupdate  tried new sim card
HTSM,B008HTJLF6,21,1,my phone works now in this area
